13:18:41 | __main__ | DEBUG | End of drop_table()
13:35:33 | __main__ | DEBUG | Attempting to write to the database
13:35:33 | __main__ | DEBUG | Attempting db connection
13:35:33 | __main__ | INFO | Successfully connected to the database
13:35:33 | __main__ | ERROR | NDFrame.to_sql() missing 1 required positional argument: 'con'
13:35:59 | __main__ | DEBUG | Attempting to write to the database
13:35:59 | __main__ | DEBUG | Attempting db connection
13:35:59 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | DEBUG | Attempting to write to the database
13:37:27 | __main__ | DEBUG | Attempting db connection
13:37:27 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | ERROR | Table 'sales' already exists.
13:37:27 | __main__ | DEBUG | Attempting to clear the database
13:37:27 | __main__ | DEBUG | Attempting db connection
13:37:27 | __main__ | INFO | Successfully connected to the database
13:37:27 | __main__ | INFO | Successfully cleared table sales
13:37:27 | __main__ | DEBUG | End of drop_table()
13:38:14 | __main__ | DEBUG | Attempting to write to the database
13:38:14 | __main__ | DEBUG | Attempting db connection
13:38:14 | __main__ | INFO | Successfully connected to the database
13:38:14 | __main__ | DEBUG | Attempting to clear the database
13:38:14 | __main__ | DEBUG | Attempting db connection
13:38:14 | __main__ | INFO | Successfully connected to the database
13:38:14 | __main__ | INFO | Successfully cleared table sales
13:38:14 | __main__ | DEBUG | End of drop_table()
13:38:33 | __main__ | DEBUG | Attempting to write to the database
13:38:33 | __main__ | DEBUG | Attempting db connection
13:38:33 | __main__ | INFO | Successfully connected to the database
13:38:33 | __main__ | DEBUG | Attempting to clear the database
13:38:33 | __main__ | DEBUG | Attempting db connection
13:38:33 | __main__ | INFO | Successfully connected to the database
13:38:34 | __main__ | INFO | Successfully cleared table sales
13:38:34 | __main__ | DEBUG | End of drop_table()
13:39:09 | __main__ | DEBUG | Attempting to write to the database
13:39:09 | __main__ | DEBUG | Attempting db connection
13:39:09 | __main__ | INFO | Successfully connected to the database
13:39:09 | __main__ | DEBUG | Attempting to write to the database
13:39:09 | __main__ | DEBUG | Attempting db connection
13:39:09 | __main__ | INFO | Successfully connected to the database
13:40:03 | __main__ | DEBUG | Attempting to write to the database
13:40:03 | __main__ | DEBUG | Attempting db connection
13:40:03 | __main__ | INFO | Successfully connected to the database
13:40:03 | __main__ | ERROR | Table 'sales' already exists.
13:40:03 | __main__ | DEBUG | Attempting to write to the database
13:40:03 | __main__ | DEBUG | Attempting db connection
13:40:03 | __main__ | INFO | Successfully connected to the database
13:40:03 | __main__ | ERROR | Table 'sales' already exists.
13:40:03 | __main__ | DEBUG | Attempting to clear the database
13:40:03 | __main__ | DEBUG | Attempting db connection
13:40:03 | __main__ | INFO | Successfully connected to the database
13:40:03 | __main__ | INFO | Successfully cleared table sales
13:40:03 | __main__ | DEBUG | End of drop_table()
13:40:14 | __main__ | DEBUG | Attempting to write to the database
13:40:14 | __main__ | DEBUG | Attempting db connection
13:40:14 | __main__ | INFO | Successfully connected to the database
13:40:14 | __main__ | DEBUG | Attempting to clear the database
13:40:14 | __main__ | DEBUG | Attempting db connection
13:40:14 | __main__ | INFO | Successfully connected to the database
13:40:14 | __main__ | INFO | Successfully cleared table sales
13:40:14 | __main__ | DEBUG | End of drop_table()
13:40:39 | __main__ | DEBUG | Attempting to write to the database
13:40:39 | __main__ | DEBUG | Attempting db connection
13:40:39 | __main__ | INFO | Successfully connected to the database
13:40:39 | __main__ | DEBUG | Attempting to clear the database
13:40:39 | __main__ | DEBUG | Attempting db connection
13:40:39 | __main__ | INFO | Successfully connected to the database
13:40:39 | __main__ | ERROR | An error occured executing a query 'DROP TABLE sales': (psycopg2.errors.UndefinedTable) table "sales" does not exist

[SQL: DROP TABLE sales]
(Background on this error at: https://sqlalche.me/e/20/f405)
13:40:39 | __main__ | DEBUG | End of drop_table()
13:41:18 | __main__ | DEBUG | Attempting to write to the database
13:41:18 | __main__ | DEBUG | Attempting db connection
13:41:18 | __main__ | INFO | Successfully connected to the database
13:41:18 | __main__ | ERROR | Table 'non_exist' already exists.
13:44:12 | __main__ | DEBUG | Attempting to clear the database
13:44:12 | __main__ | DEBUG | Attempting db connection
13:44:12 | __main__ | INFO | Successfully connected to the database
13:44:12 | __main__ | INFO | Successfully cleared table non_exist
13:44:12 | __main__ | DEBUG | End of drop_table()
